User_ID,Gender,Age,Location,Device_Type,Product_Browsing_Time,Total_Pages_Viewed,Items_Added_to_Cart,Total_Purchases
1,Female,23,Ahmedabad,Mobile,60,30,1,0
2,Male,25,Kolkata,Tablet,30,38,9,4
3,Male,32,Bangalore,Desktop,37,13,5,0
4,Male,35,Delhi,Mobile,7,20,10,3
5,Male,27,Bangalore,Tablet,35,20,8,2
6,Male,31,Kolkata,Mobile,34,47,5,4
7,Female,22,Delhi,Mobile,13,14,3,0
8,Female,25,Pune,Mobile,42,24,10,2
9,Male,33,Mumbai,Desktop,21,18,5,5
10,Female,18,Bangalore,Desktop,12,43,2,5
11,Female,30,Ahmedabad,Tablet,31,15,9,5
12,Male,21,Delhi,Tablet,25,35,10,1
13,Female,23,Bangalore,Mobile,10,27,0,2
14,Male,26,Bangalore,Desktop,42,22,0,3
15,Male,32,Kolkata,Desktop,37,44,5,0
16,Female,35,Ahmedabad,Desktop,60,7,8,5
17,Female,22,Bangalore,Mobile,37,7,10,4
18,Male,22,Mumbai,Desktop,19,33,6,0
19,Male,32,Kolkata,Desktop,18,13,2,4
20,Male,25,Ahmedabad,Mobile,38,36,4,3
21,Male,21,Delhi,Mobile,14,30,7,5
22,Female,28,Kolkata,Mobile,45,44,9,1
23,Female,21,Mumbai,Tablet,16,29,1,1
24,Female,27,Ahmedabad,Mobile,59,17,4,5
25,Male,32,Hyderabad,Tablet,27,26,6,0
26,Male,25,Ahmedabad,Desktop,22,42,5,0
27,Male,27,Delhi,Tablet,23,39,10,0
28,Male,21,Pune,Mobile,44,27,8,5
29,Female,21,Chennai,Desktop,41,7,3,4
30,Female,29,Hyderabad,Tablet,40,26,3,4
31,Male,32,Bangalore,Mobile,42,31,10,0
32,Female,18,Kolkata,Tablet,59,18,10,2
33,Female,18,Chennai,Mobile,19,28,10,5
34,Female,20,Delhi,Tablet,10,40,10,2
35,Female,30,Mumbai,Desktop,14,49,3,1
36,Male,35,Chennai,Tablet,28,46,8,5
37,Female,28,Chennai,Tablet,13,47,7,3
38,Male,26,Kolkata,Tablet,43,14,6,5
39,Female,32,Pune,Mobile,38,50,7,1
40,Female,35,Chennai,Desktop,46,29,8,2
41,Female,19,Hyderabad,Mobile,55,32,7,4
42,Male,29,Pune,Desktop,43,23,4,5
43,Female,23,Delhi,Desktop,58,36,10,0
44,Male,29,Pune,Tablet,10,17,1,0
45,Female,29,Ahmedabad,Desktop,18,47,3,2
46,Female,26,Delhi,Tablet,47,11,3,5
47,Female,32,Kolkata,Tablet,39,47,7,2
48,Female,28,Kolkata,Tablet,46,13,6,3
49,Female,21,Delhi,Mobile,18,26,0,2
50,Male,28,Chennai,Mobile,21,28,3,5
51,Female,30,Ahmedabad,Tablet,17,8,5,2
52,Male,26,Delhi,Mobile,8,20,10,2
53,Female,30,Kolkata,Tablet,37,10,3,1
54,Male,26,Ahmedabad,Tablet,17,47,7,4
55,Male,23,Mumbai,Desktop,43,10,1,0
56,Female,32,Chennai,Tablet,56,29,2,2
57,Female,26,Chennai,Desktop,39,33,1,0
58,Male,20,Kolkata,Tablet,33,40,9,2
59,Female,24,Mumbai,Mobile,38,38,6,4
60,Male,21,Hyderabad,Desktop,12,15,6,0
61,Female,35,Mumbai,Mobile,7,9,5,1
62,Female,33,Bangalore,Mobile,35,50,9,0
63,Female,20,Delhi,Tablet,16,48,3,1
64,Male,32,Pune,Mobile,33,7,3,4
65,Female,25,Bangalore,Desktop,22,50,10,0
66,Male,25,Bangalore,Mobile,29,14,5,0
67,Male,27,Pune,Tablet,47,36,8,2
68,Male,29,Chennai,Mobile,25,26,7,3
69,Male,22,Pune,Mobile,7,30,8,2
70,Female,20,Hyderabad,Mobile,27,41,0,0
71,Male,31,Kolkata,Mobile,11,19,6,1
72,Female,18,Mumbai,Desktop,54,48,4,3
73,Male,25,Delhi,Desktop,38,39,3,2
74,Female,29,Delhi,Mobile,57,20,1,1
75,Male,19,Bangalore,Desktop,43,34,3,0
76,Female,27,Kolkata,Tablet,56,41,8,2
77,Female,29,Hyderabad,Desktop,15,6,7,5
78,Female,26,Pune,Tablet,51,31,0,5
79,Male,18,Pune,Mobile,15,44,1,3
80,Male,28,Hyderabad,Mobile,9,41,9,3
81,Female,31,Bangalore,Mobile,34,48,6,2
82,Male,26,Delhi,Mobile,10,33,2,5
83,Female,26,Kolkata,Desktop,50,48,3,0
84,Female,32,Bangalore,Desktop,18,15,8,5
85,Female,22,Pune,Mobile,7,29,10,4
86,Female,23,Hyderabad,Tablet,34,18,8,1
87,Female,31,Chennai,Tablet,36,18,8,4
88,Male,27,Chennai,Desktop,39,12,1,4
89,Female,30,Kolkata,Tablet,8,19,1,3
90,Male,29,Ahmedabad,Mobile,29,40,7,1
91,Male,29,Ahmedabad,Mobile,52,36,7,2
92,Male,21,Pune,Tablet,21,34,8,4
93,Male,26,Pune,Tablet,16,15,10,2
94,Female,22,Kolkata,Mobile,31,25,0,4
95,Male,20,Hyderabad,Tablet,41,28,1,5
96,Male,21,Pune,Mobile,35,46,1,3
97,Female,33,Hyderabad,Mobile,52,23,6,3
98,Female,19,Kolkata,Tablet,47,8,10,5
99,Male,20,Ahmedabad,Mobile,37,34,8,2
100,Male,27,Hyderabad,Desktop,10,16,0,4
101,Female,22,Ahmedabad,Desktop,43,18,1,4
102,Male,19,Delhi,Tablet,60,44,7,5
103,Female,22,Ahmedabad,Mobile,18,42,9,3
104,Male,32,Kolkata,Desktop,36,23,3,5
105,Male,21,Bangalore,Mobile,47,19,7,2
106,Female,34,Chennai,Mobile,34,44,1,5
107,Male,32,Bangalore,Tablet,36,21,8,2
108,Male,27,Bangalore,Desktop,24,25,1,3
109,Female,30,Delhi,Tablet,32,37,8,3
110,Female,32,Kolkata,Tablet,31,31,0,0
111,Female,23,Chennai,Desktop,54,28,5,0
112,Male,20,Mumbai,Mobile,19,42,9,5
113,Female,32,Bangalore,Mobile,35,19,8,0
114,Female,35,Mumbai,Mobile,46,26,9,2
115,Female,25,Delhi,Mobile,41,6,8,3
116,Male,33,Ahmedabad,Mobile,9,14,1,3
117,Female,25,Mumbai,Desktop,24,34,6,0
118,Female,27,Delhi,Tablet,16,50,1,3
119,Female,34,Kolkata,Mobile,40,40,5,1
120,Female,35,Chennai,Mobile,30,22,4,0
121,Female,19,Mumbai,Desktop,44,30,9,1
122,Male,29,Hyderabad,Tablet,57,42,9,4
123,Male,28,Chennai,Mobile,9,12,6,2
124,Male,21,Hyderabad,Mobile,16,35,3,0
125,Male,29,Kolkata,Desktop,58,43,3,3
126,Female,30,Kolkata,Mobile,38,14,4,0
127,Female,27,Bangalore,Desktop,55,28,3,4
128,Female,31,Ahmedabad,Desktop,28,24,5,5
129,Female,27,Hyderabad,Desktop,7,12,6,2
130,Female,27,Ahmedabad,Desktop,22,16,3,0
131,Male,32,Hyderabad,Tablet,49,43,10,0
132,Male,23,Hyderabad,Mobile,46,35,9,0
133,Male,19,Pune,Mobile,13,29,1,3
134,Male,21,Chennai,Tablet,17,9,10,1
135,Male,31,Mumbai,Mobile,58,40,7,5
136,Male,29,Pune,Tablet,46,8,6,1
137,Male,27,Delhi,Mobile,41,35,3,0
138,Male,31,Bangalore,Desktop,57,6,3,0
139,Male,35,Pune,Mobile,14,47,6,0
140,Female,30,Bangalore,Mobile,36,38,7,5
141,Female,33,Kolkata,Desktop,58,14,0,3
142,Female,19,Delhi,Desktop,27,44,5,4
143,Male,22,Mumbai,Desktop,34,16,6,5
144,Female,29,Hyderabad,Mobile,46,49,5,0
145,Male,18,Mumbai,Desktop,39,11,7,4
146,Female,22,Hyderabad,Mobile,54,23,8,0
147,Male,19,Kolkata,Tablet,14,23,6,4
148,Female,19,Pune,Desktop,21,49,4,2
149,Female,25,Chennai,Desktop,44,26,7,3
150,Male,27,Chennai,Desktop,41,31,8,5
151,Male,30,Hyderabad,Desktop,27,39,4,0
152,Female,19,Mumbai,Mobile,25,43,2,4
153,Male,27,Mumbai,Tablet,52,23,9,5
154,Female,26,Hyderabad,Tablet,47,35,3,4
155,Female,32,Pune,Desktop,35,45,10,2
156,Female,31,Ahmedabad,Tablet,32,46,4,1
157,Male,21,Chennai,Desktop,8,20,9,3
158,Female,25,Kolkata,Mobile,19,40,5,4
159,Female,23,Kolkata,Tablet,30,28,10,1
160,Female,30,Ahmedabad,Desktop,24,21,8,1
161,Male,30,Ahmedabad,Desktop,5,28,7,1
162,Female,20,Delhi,Desktop,38,23,3,2
163,Male,18,Kolkata,Desktop,46,10,2,0
164,Male,19,Kolkata,Tablet,19,36,10,5
165,Male,23,Mumbai,Desktop,19,18,4,3
166,Male,25,Hyderabad,Mobile,54,49,0,3
167,Male,34,Chennai,Tablet,21,50,8,4
168,Male,31,Pune,Tablet,56,42,5,4
169,Male,23,Bangalore,Tablet,34,39,2,3
170,Male,33,Delhi,Tablet,46,24,0,5
171,Male,28,Hyderabad,Tablet,57,9,7,0
172,Male,28,Bangalore,Mobile,13,18,8,2
173,Female,31,Hyderabad,Tablet,42,14,1,3
174,Female,34,Bangalore,Mobile,14,23,2,0
175,Male,23,Delhi,Tablet,42,16,5,2
176,Male,22,Ahmedabad,Tablet,28,36,9,5
177,Female,29,Kolkata,Desktop,30,39,5,4
178,Male,31,Pune,Tablet,37,42,3,5
179,Female,34,Delhi,Mobile,22,5,4,5
180,Male,30,Delhi,Tablet,14,8,2,2
181,Male,33,Mumbai,Tablet,33,47,3,4
182,Female,25,Bangalore,Desktop,36,28,0,3
183,Female,27,Pune,Desktop,7,8,2,1
184,Female,27,Bangalore,Mobile,9,39,8,1
185,Male,28,Mumbai,Mobile,37,8,1,4
186,Male,26,Kolkata,Tablet,51,8,0,3
187,Female,34,Bangalore,Desktop,5,37,8,3
188,Female,30,Mumbai,Mobile,37,37,2,0
189,Male,24,Kolkata,Mobile,10,27,2,4
190,Female,31,Mumbai,Tablet,14,32,7,4
191,Male,29,Hyderabad,Mobile,21,23,9,2
192,Female,26,Kolkata,Tablet,35,39,9,5
193,Male,33,Bangalore,Mobile,8,22,3,5
194,Female,18,Delhi,Mobile,42,10,8,5
195,Female,18,Chennai,Desktop,13,26,2,1
196,Female,35,Ahmedabad,Mobile,45,20,6,1
197,Male,34,Delhi,Mobile,29,40,1,2
198,Male,21,Mumbai,Tablet,30,23,2,1
199,Male,35,Ahmedabad,Tablet,18,7,0,3
200,Male,20,Ahmedabad,Desktop,25,5,4,5
201,Female,19,Mumbai,Tablet,34,9,1,1
202,Male,29,Mumbai,Mobile,41,10,10,3
203,Female,35,Pune,Tablet,56,48,3,1
204,Female,21,Kolkata,Desktop,56,10,5,5
205,Male,18,Delhi,Mobile,57,18,9,5
206,Male,18,Hyderabad,Mobile,60,35,9,4
207,Female,18,Chennai,Desktop,34,41,4,5
208,Male,22,Ahmedabad,Tablet,22,10,0,4
209,Female,21,Pune,Desktop,6,48,7,2
210,Male,23,Hyderabad,Mobile,21,30,9,1
211,Male,28,Pune,Desktop,13,25,0,1
212,Female,20,Pune,Tablet,29,23,7,0
213,Male,21,Pune,Desktop,47,31,4,2
214,Male,32,Delhi,Desktop,6,10,0,5
215,Male,19,Bangalore,Mobile,45,41,1,4
216,Female,32,Chennai,Desktop,15,30,0,1
217,Female,22,Mumbai,Mobile,57,43,6,4
218,Male,35,Kolkata,Tablet,42,30,0,2
219,Male,34,Hyderabad,Mobile,16,33,4,2
220,Male,30,Kolkata,Desktop,6,41,8,3
221,Male,27,Ahmedabad,Mobile,43,41,8,0
222,Male,29,Kolkata,Mobile,43,17,6,0
223,Male,35,Mumbai,Mobile,28,18,9,5
224,Male,23,Bangalore,Desktop,42,25,6,0
225,Female,21,Hyderabad,Desktop,53,26,0,3
226,Female,30,Delhi,Tablet,52,7,0,4
227,Male,27,Kolkata,Mobile,49,30,10,5
228,Male,32,Delhi,Desktop,7,49,2,4
229,Male,23,Ahmedabad,Tablet,9,26,10,5
230,Female,21,Kolkata,Tablet,11,27,6,3
231,Male,23,Delhi,Mobile,33,6,10,4
232,Male,30,Delhi,Tablet,47,48,3,3
233,Male,23,Delhi,Desktop,15,12,9,5
234,Male,25,Ahmedabad,Desktop,19,9,2,0
235,Male,27,Kolkata,Tablet,54,30,2,0
236,Male,28,Kolkata,Tablet,31,15,7,3
237,Female,35,Chennai,Desktop,50,39,4,1
238,Female,29,Delhi,Mobile,19,41,6,1
239,Male,20,Delhi,Tablet,12,48,10,5
240,Female,29,Bangalore,Tablet,52,26,9,2
241,Female,18,Kolkata,Mobile,56,21,7,0
242,Male,25,Bangalore,Tablet,32,9,2,2
243,Male,34,Ahmedabad,Tablet,20,46,5,0
244,Male,26,Pune,Mobile,19,21,0,1
245,Female,18,Mumbai,Tablet,48,18,4,1
246,Male,22,Ahmedabad,Mobile,9,37,7,4
247,Male,22,Chennai,Tablet,14,30,4,4
248,Female,22,Chennai,Tablet,11,27,3,5
249,Female,29,Pune,Mobile,59,46,8,1
250,Male,23,Chennai,Mobile,51,47,4,4
251,Female,18,Delhi,Mobile,49,29,9,2
252,Male,26,Pune,Tablet,37,26,6,0
253,Male,19,Chennai,Desktop,12,11,0,4
254,Female,19,Chennai,Mobile,46,50,3,0
255,Male,33,Delhi,Mobile,11,27,5,5
256,Female,35,Chennai,Desktop,44,50,10,0
257,Female,29,Hyderabad,Desktop,11,22,1,0
258,Female,33,Hyderabad,Tablet,46,11,3,2
259,Male,29,Ahmedabad,Tablet,53,27,8,0
260,Female,22,Pune,Desktop,29,12,5,3
261,Male,35,Delhi,Desktop,23,29,5,3
262,Male,33,Mumbai,Desktop,6,14,5,3
263,Female,33,Mumbai,Tablet,32,43,1,3
264,Male,22,Chennai,Tablet,49,14,1,2
265,Male,19,Delhi,Desktop,39,43,4,2
266,Male,35,Bangalore,Mobile,28,47,5,5
267,Male,21,Hyderabad,Desktop,20,12,0,1
268,Female,24,Delhi,Tablet,15,14,1,4
269,Female,33,Hyderabad,Mobile,34,35,3,2
270,Male,24,Mumbai,Mobile,8,17,7,1
271,Male,34,Hyderabad,Mobile,14,26,8,4
272,Male,21,Mumbai,Tablet,19,11,9,2
273,Female,29,Mumbai,Tablet,57,17,9,4
274,Female,30,Pune,Desktop,27,8,10,0
275,Female,27,Delhi,Desktop,27,6,2,3
276,Female,25,Bangalore,Desktop,53,30,9,1
277,Female,24,Ahmedabad,Mobile,56,41,8,4
278,Female,35,Hyderabad,Desktop,11,37,10,5
279,Female,29,Ahmedabad,Tablet,7,13,8,0
280,Female,28,Ahmedabad,Tablet,8,10,9,0
281,Male,23,Delhi,Tablet,38,26,9,5
282,Male,23,Kolkata,Tablet,7,22,2,4
283,Male,19,Delhi,Mobile,45,41,8,4
284,Female,35,Ahmedabad,Tablet,12,24,1,0
285,Male,24,Mumbai,Mobile,31,9,7,2
286,Female,19,Ahmedabad,Tablet,24,46,10,0
287,Male,35,Delhi,Mobile,25,19,8,2
288,Female,20,Chennai,Desktop,6,42,4,2
289,Female,24,Kolkata,Tablet,52,9,0,1
290,Female,28,Delhi,Mobile,39,24,4,3
291,Male,26,Kolkata,Desktop,52,48,7,5
292,Male,26,Mumbai,Tablet,51,37,1,4
293,Male,23,Bangalore,Desktop,32,25,8,0
294,Female,34,Chennai,Mobile,12,43,8,0
295,Male,31,Chennai,Mobile,14,25,8,5
296,Male,21,Ahmedabad,Tablet,29,43,0,4
297,Female,29,Ahmedabad,Mobile,36,28,3,2
298,Male,31,Kolkata,Mobile,22,16,8,2
299,Female,35,Mumbai,Tablet,60,41,6,0
300,Male,18,Hyderabad,Desktop,39,16,2,2
301,Female,20,Kolkata,Mobile,38,40,9,2
302,Male,19,Mumbai,Mobile,10,38,2,3
303,Male,24,Kolkata,Mobile,53,36,10,3
304,Female,31,Pune,Desktop,22,16,7,3
305,Female,32,Delhi,Desktop,6,35,0,0
306,Male,21,Ahmedabad,Desktop,26,27,8,5
307,Male,24,Ahmedabad,Tablet,49,44,6,2
308,Female,34,Delhi,Mobile,20,38,8,4
309,Male,32,Bangalore,Desktop,58,10,1,4
310,Male,20,Chennai,Mobile,28,37,7,3
311,Female,20,Bangalore,Desktop,5,50,3,5
312,Female,25,Kolkata,Tablet,9,28,7,2
313,Female,29,Chennai,Mobile,6,14,1,0
314,Male,22,Delhi,Tablet,29,35,6,1
315,Male,25,Chennai,Desktop,9,31,7,1
316,Male,21,Chennai,Desktop,28,6,2,0
317,Male,27,Hyderabad,Mobile,53,35,6,1
318,Female,29,Bangalore,Desktop,29,35,4,3
319,Male,24,Pune,Tablet,22,8,4,5
320,Male,32,Ahmedabad,Desktop,16,28,4,4
321,Male,24,Mumbai,Tablet,28,31,10,3
322,Female,23,Bangalore,Tablet,27,47,7,4
323,Male,19,Bangalore,Desktop,32,43,4,5
324,Female,25,Pune,Mobile,57,14,6,0
325,Male,35,Mumbai,Tablet,18,19,7,3
326,Female,22,Ahmedabad,Mobile,19,17,10,2
327,Female,33,Kolkata,Desktop,38,9,10,1
328,Female,23,Bangalore,Mobile,22,10,4,5
329,Male,27,Mumbai,Mobile,6,10,4,1
330,Male,34,Ahmedabad,Mobile,20,50,1,3
331,Female,19,Hyderabad,Desktop,31,19,10,0
332,Female,35,Mumbai,Desktop,15,13,2,2
333,Male,28,Kolkata,Desktop,8,9,6,2
334,Female,34,Pune,Mobile,29,14,5,5
335,Female,24,Chennai,Tablet,29,48,3,1
336,Female,31,Kolkata,Mobile,28,34,7,4
337,Female,30,Delhi,Tablet,42,10,7,3
338,Male,32,Ahmedabad,Desktop,46,11,9,2
339,Female,20,Hyderabad,Mobile,41,12,6,0
340,Male,28,Mumbai,Tablet,33,31,1,0
341,Female,32,Ahmedabad,Desktop,14,50,0,3
342,Female,22,Mumbai,Mobile,51,36,5,3
343,Female,31,Mumbai,Desktop,51,28,5,2
344,Male,35,Pune,Tablet,32,22,0,1
345,Male,26,Kolkata,Tablet,15,48,0,3
346,Female,18,Mumbai,Desktop,31,46,1,4
347,Male,24,Mumbai,Desktop,11,18,3,0
348,Male,28,Hyderabad,Tablet,49,49,1,3
349,Male,34,Chennai,Mobile,7,37,1,4
350,Female,27,Chennai,Mobile,11,25,7,2
351,Female,25,Bangalore,Desktop,36,33,3,1
352,Female,29,Ahmedabad,Mobile,16,21,10,2
353,Male,31,Pune,Desktop,57,19,2,2
354,Male,19,Chennai,Tablet,57,16,3,1
355,Male,34,Ahmedabad,Desktop,40,7,3,0
356,Male,26,Ahmedabad,Mobile,33,5,1,0
357,Female,32,Kolkata,Mobile,17,34,5,2
358,Female,23,Delhi,Tablet,56,35,2,2
359,Male,27,Hyderabad,Tablet,29,17,0,3
360,Male,25,Chennai,Mobile,25,28,3,4
361,Female,33,Ahmedabad,Tablet,10,38,8,4
362,Male,24,Chennai,Desktop,34,5,4,4
363,Female,27,Delhi,Tablet,58,37,8,1
364,Female,18,Hyderabad,Tablet,8,20,1,1
365,Male,26,Bangalore,Tablet,38,45,9,2
366,Male,30,Hyderabad,Mobile,14,6,2,5
367,Female,22,Delhi,Mobile,38,5,6,3
368,Male,26,Bangalore,Mobile,41,36,1,3
369,Female,29,Kolkata,Tablet,26,41,2,0
370,Male,20,Bangalore,Mobile,60,9,8,5
371,Male,24,Bangalore,Desktop,35,29,9,4
372,Male,34,Bangalore,Mobile,30,13,9,2
373,Male,22,Delhi,Tablet,29,44,0,5
374,Male,34,Delhi,Desktop,46,5,5,1
375,Female,34,Pune,Tablet,10,35,2,3
376,Male,32,Bangalore,Desktop,29,40,4,2
377,Male,28,Delhi,Tablet,25,21,1,2
378,Male,35,Bangalore,Desktop,5,35,2,3
379,Male,33,Kolkata,Mobile,48,28,5,5
380,Female,23,Delhi,Tablet,13,15,4,1
381,Male,24,Mumbai,Mobile,17,22,3,5
382,Female,18,Pune,Tablet,10,18,4,2
383,Female,22,Hyderabad,Mobile,9,30,4,1
384,Female,18,Hyderabad,Desktop,31,7,3,5
385,Male,22,Delhi,Mobile,47,49,3,2
386,Male,33,Delhi,Mobile,31,44,3,2
387,Female,27,Hyderabad,Mobile,7,5,7,5
388,Female,30,Delhi,Tablet,6,6,4,3
389,Female,22,Kolkata,Desktop,40,19,0,4
390,Female,28,Hyderabad,Mobile,31,47,2,3
391,Female,24,Pune,Mobile,57,32,10,0
392,Male,28,Mumbai,Tablet,25,17,7,3
393,Male,30,Hyderabad,Desktop,11,10,2,1
394,Female,20,Delhi,Mobile,38,41,3,3
395,Female,28,Delhi,Mobile,24,27,7,5
396,Female,29,Mumbai,Desktop,14,47,10,1
397,Male,23,Chennai,Mobile,45,32,8,2
398,Female,20,Hyderabad,Desktop,53,5,0,5
399,Female,35,Bangalore,Mobile,52,22,10,4
400,Male,26,Delhi,Tablet,5,23,6,0
401,Female,28,Delhi,Mobile,17,29,5,0
402,Male,24,Hyderabad,Mobile,54,41,5,1
403,Male,34,Hyderabad,Desktop,54,49,1,5
404,Female,35,Pune,Tablet,47,50,3,0
405,Male,26,Hyderabad,Tablet,39,35,8,3
406,Male,25,Pune,Desktop,29,29,8,0
407,Male,31,Ahmedabad,Mobile,28,25,4,3
408,Female,18,Pune,Desktop,17,30,9,4
409,Male,20,Hyderabad,Mobile,40,33,3,4
410,Male,21,Pune,Desktop,58,9,8,2
411,Female,26,Bangalore,Desktop,9,26,7,5
412,Male,29,Bangalore,Desktop,58,11,10,3
413,Male,31,Pune,Desktop,42,34,4,4
414,Male,20,Chennai,Tablet,10,50,5,2
415,Male,18,Hyderabad,Tablet,21,12,9,1
416,Male,23,Hyderabad,Desktop,45,7,10,1
417,Female,33,Ahmedabad,Mobile,39,20,0,1
418,Female,27,Kolkata,Tablet,6,19,5,0
419,Female,21,Ahmedabad,Tablet,50,37,8,2
420,Female,24,Kolkata,Tablet,36,38,10,5
421,Male,21,Mumbai,Desktop,33,28,1,3
422,Male,28,Pune,Mobile,7,11,8,2
423,Female,30,Hyderabad,Desktop,45,39,6,0
424,Female,25,Kolkata,Mobile,15,22,7,3
425,Female,18,Kolkata,Tablet,39,47,10,2
426,Female,24,Delhi,Tablet,14,12,4,0
427,Male,24,Pune,Tablet,17,30,9,4
428,Female,27,Ahmedabad,Desktop,52,22,0,3
429,Female,18,Ahmedabad,Tablet,14,33,2,5
430,Male,29,Delhi,Mobile,18,33,3,5
431,Female,23,Delhi,Desktop,52,8,2,2
432,Female,23,Ahmedabad,Desktop,49,45,1,0
433,Male,35,Ahmedabad,Mobile,24,24,7,5
434,Male,18,Bangalore,Tablet,6,12,2,0
435,Male,19,Ahmedabad,Tablet,55,24,1,4
436,Female,20,Chennai,Tablet,7,27,10,3
437,Female,33,Kolkata,Desktop,20,19,10,3
438,Male,18,Ahmedabad,Mobile,29,9,10,3
439,Male,29,Kolkata,Tablet,23,24,4,5
440,Male,28,Bangalore,Mobile,33,29,9,3
441,Female,25,Ahmedabad,Desktop,32,31,8,5
442,Male,26,Bangalore,Tablet,56,35,7,4
443,Female,18,Hyderabad,Tablet,49,6,7,0
444,Male,35,Pune,Mobile,15,24,8,1
445,Female,34,Kolkata,Desktop,32,5,2,1
446,Female,25,Kolkata,Mobile,39,42,9,2
447,Female,31,Bangalore,Tablet,22,13,5,0
448,Male,21,Pune,Tablet,12,13,9,2
449,Female,19,Bangalore,Desktop,24,20,1,0
450,Female,22,Hyderabad,Mobile,34,32,4,0
451,Male,23,Bangalore,Tablet,52,11,5,4
452,Male,20,Kolkata,Tablet,54,27,0,2
453,Male,22,Kolkata,Tablet,37,35,0,5
454,Female,21,Ahmedabad,Mobile,34,13,7,4
455,Female,28,Mumbai,Desktop,40,35,9,4
456,Female,21,Chennai,Mobile,24,20,6,5
457,Female,22,Delhi,Mobile,25,12,7,0
458,Male,34,Pune,Desktop,7,33,7,0
459,Female,29,Hyderabad,Desktop,18,43,5,5
460,Male,28,Mumbai,Tablet,39,35,2,4
461,Female,26,Chennai,Desktop,33,15,4,0
462,Male,25,Delhi,Desktop,48,24,10,2
463,Male,27,Mumbai,Desktop,6,37,1,3
464,Female,22,Bangalore,Tablet,9,29,5,0
465,Male,23,Bangalore,Tablet,47,9,6,4
466,Male,21,Mumbai,Tablet,9,34,7,0
467,Male,21,Hyderabad,Mobile,54,21,2,0
468,Male,31,Kolkata,Desktop,13,48,10,3
469,Male,33,Kolkata,Mobile,20,35,2,5
470,Male,21,Ahmedabad,Desktop,13,13,2,2
471,Male,35,Ahmedabad,Tablet,51,39,2,2
472,Male,28,Mumbai,Tablet,44,11,4,1
473,Female,25,Chennai,Mobile,46,12,4,3
474,Female,21,Bangalore,Desktop,35,42,9,2
475,Male,30,Mumbai,Mobile,34,23,5,0
476,Male,18,Delhi,Mobile,16,41,5,5
477,Female,21,Chennai,Tablet,47,35,2,0
478,Female,23,Chennai,Desktop,17,20,10,3
479,Male,20,Chennai,Desktop,14,34,3,1
480,Male,23,Pune,Desktop,6,33,10,3
481,Female,31,Pune,Desktop,24,9,5,2
482,Male,19,Bangalore,Mobile,46,25,9,0
483,Female,21,Chennai,Tablet,31,33,8,2
484,Female,32,Kolkata,Desktop,39,47,7,0
485,Male,31,Pune,Mobile,12,42,3,3
486,Male,27,Pune,Tablet,24,19,9,0
487,Female,32,Hyderabad,Mobile,50,11,6,4
488,Male,24,Pune,Mobile,50,9,9,1
489,Female,28,Mumbai,Mobile,8,15,10,0
490,Female,27,Chennai,Tablet,14,25,1,4
491,Female,26,Mumbai,Tablet,37,24,9,5
492,Female,18,Kolkata,Desktop,45,18,3,4
493,Female,24,Pune,Desktop,43,16,10,2
494,Male,29,Hyderabad,Mobile,18,13,0,3
495,Male,31,Pune,Desktop,32,25,2,1
496,Male,24,Mumbai,Tablet,40,45,0,0
497,Female,24,Hyderabad,Desktop,8,34,4,5
498,Male,19,Pune,Desktop,33,41,0,3
499,Male,28,Chennai,Desktop,6,32,7,4
500,Female,31,Kolkata,Mobile,16,10,10,4
